id,text,emotion,compound,intensity
254,జీవితం నన్ను అలసటగా మారుస్తోంది.,depression,-0.8,9
620,నేను అశాంతి అంచున నాట్యం చేస్తున్నాను.కోల్పోయిన ఆత్మను కోరుకోవడం,anxiety,-0.54,8
757,"గత సంవత్సరం వారు బయాప్సీ చేసిన ప్రాంతాన్ని మెరుగ్గా చూడడానికి నేను రెండవ మామోగ్రామ్ కోసం వెళ్లాలని నా వైద్యుడు నాకు చెప్పినప్పుడు ఈ రోజు వరకు కొంచెం విచిత్రంగా ఉంది.నేను ఉద్యోగాలు మార్చడం మరియు మారడం మధ్యలో ఉన్నాను మరియు ఇది నా ఆందోళనను అంచుకు పంపింది.చెప్పనక్కర్లేదు, గత సంవత్సరం నేను కలిగి ఉన్న బయాప్సీ మరియు రెండవ మామోగ్రామ్ యొక్క కాపీ భాగాన్ని చెల్లించడం కూడా నాకు ఖరీదైనది.నేను పరీక్షకు ముందు రెండు వారాలు వేచి ఉండాలి మరియు అది చాలా కాలం అనుభూతి చెందుతుంది.:(",anxiety,-0.45,8
415,రోజు మొత్తం ఒత్తిడిగానే గడుస్తోంది.,stress,-0.25,7
482,శాంతంగా కూర్చోవడం కూడా కష్టంగా మారింది.,stress,-0.65,8
49,పార్కులో పిల్లలు ఆడుతున్నారు.,normal,0.05,5
257,దుఃఖం నన్ను పూర్తిగా ముంచేస్తోంది.,depression,-0.64,8
722,"నేను భవిష్యత్తు గురించి ఆందోళన చెందుతున్న దశలో ఉన్నాను, అయితే మనం సానుకూల ఆలోచనను విడిచిపెట్టాలి మరియు ఉత్తమ ఫలితాల కోసం ప్రయత్నిస్తున్నప్పుడు మరియు ప్రార్థిస్తున్నప్పుడు మనం ప్రతిదీ దేవునిపై విశ్వసించాలి.",anxiety,0.97,1
645,"రసాయనాల గురించి ఎవరైనా భయపడుతున్నారా?ఎప్పుడైనా ఎవరైనా నా దగ్గర క్లీనింగ్ ప్రొడక్ట్‌ని ఉపయోగించినప్పుడు లేదా క్లీనింగ్ ప్రొడక్ట్‌తో క్లీన్ చేసిన దానిని నేను తాకినప్పుడు, నేను విషం తీసుకుంటానో లేదా మరేదైనా ఉంటుందోనని తీవ్ర ఆందోళన చెందుతాను.మార్కర్‌లు మరియు జిగురు వంటి వాటి గురించి కూడా నేను భయపడుతున్నాను, ఆ వాసనలు ఉండే వ్యక్తులు కొన్నిసార్లు అధిక స్థాయికి వెళ్లడానికి ప్రయత్నిస్తారు.రసాయనాలు నా కళ్ళను దెబ్బతీస్తాయో లేదా వాటిని పీల్చడం ద్వారా నా మెదడును దెబ్బతీస్తాయోనని నేను భయపడుతున్నాను.దీనితో మరెవరికైనా సంబంధం ఉందా?",anxiety,-0.96,10
343,లోపల ఏడ్వడం ఆగడం లేదు.,depression,-0.71,9
695,"అనారోగ్యంతో ఉన్నారనే భయంతో నేను ఆరోగ్య ఆందోళనతో బాధపడుతున్నాను, ఎక్కువగా MS మరియు బ్రెయిన్ ట్యూమర్‌లకు సంబంధించినది (నాకు వెర్టిగో ఎపిసోడ్ వచ్చింది, అది ప్రేరేపించబడింది) మరియు గతంలో నేను గుండె సంబంధిత అనారోగ్యాల గురించి HA కలిగి ఉన్నాను.నేను ఆ విషయాల గురించి చింతిస్తూ చాలా పోస్ట్‌లను చూశాను, కానీ నేను విసిరేయడానికి నిజమైన భయంతో కూడా బాధపడుతున్నాను.నేను ఫుడ్ పాయిజనింగ్ గురించి మతిస్థిమితం లేనివాడిని మరియు ఇది చాలా ఆహారాల యొక్క నా ఆనందాన్ని నాశనం చేసింది.నేను నా ఆహారాన్ని చాలా ఎక్కువగా ఉడికించాను మరియు చాలా వస్తువులను బయటకు విసిరేస్తాను.నేను ఇంతకు ముందు టేక్ అవుట్ నుండి తీసుకున్న చికెన్ సరిగ్గా ఉడకలేదని చింతిస్తూ ప్రస్తుతం ఇక్కడ కూర్చున్నాను.నాకు అనారోగ్యంగా అనిపిస్తుంది, కానీ అది ఆందోళనకు ఒక లక్షణం కావచ్చు.వాంతులు మరియు ఫుడ్ పాయిజనింగ్ చుట్టూ మరెవరికైనా HA ఉందా?",anxiety,-0.99,10
238,నేను మెల్లగా మాయమవుతున్నట్లు అనిపిస్తోంది.,depression,-0.87,9
626,"విరామం లేని మరియు విరామం లేని, కోపంగా ఉండాలనుకుంటున్నాను",anxiety,-0.74,9
208,భవిష్యత్తు కనిపించడం లేదు.,depression,-0.79,9
44,నేను యూట్యూబ్‌లో వీడియో చూశాను.,normal,0.46,3
223,నేను పూర్వం లా ఇక లేను.,depression,-0.55,8
576,శరీరం బిగుసుకుపోయినట్టుంది.,stress,-0.71,9
292,ఏదీ నన్ను ఆనందపరచడం లేదు.,depression,-0.68,9
581,కొత్త పనులు మొదలుపెట్టాలన్నా భయం.,stress,-0.16,6
45,ల్యాప్‌టాప్ అప్‌డేట్ పెట్టాను.,normal,0.4,4
361,ఎవరి ప్రోత్సాహం కూడా చేరడం లేదు.,depression,-0.87,9
398,నేను వింటున్నాను కానీ అనుభవించడం లేదు.,depression,-0.69,9
483,చిన్న శబ్దం వచ్చినా గబగబ వణుకుతున్నాను.,stress,-0.4,7
84,సాయంత్రం ఆకాశం అందంగా ఉంది.,normal,0.04,5
224,ఏదీ ఆసక్తి కలిగించటం లేదు.,depression,-0.67,9
74,షాపింగ్ మాల్‌లో జనాలు తక్కువగా ఉన్నారు.,normal,0.65,3
266,నాలోని భావాలు మరిగిపోతున్నాయి.,depression,-0.55,8
672,"వైద్యులు మరియు రోగ నిర్ధారణలపై అపనమ్మకం - ఎలా అధిగమించాలి?నేను కొన్ని సంవత్సరాలుగా తీవ్రమైన ఆరోగ్య ఆందోళనతో ఉన్నాను.ఇది ఒక వ్యాధి నుండి మరొక వ్యాధికి వ్యాపిస్తుంది మరియు వైద్య సలహాలు/పరీక్షలు దానిని నిర్థారించవు, ఎందుకంటే వారు ఏదో కోల్పోయారని నేను ఎల్లప్పుడూ నమ్ముతున్నాను.

ఇటీవల ఇది క్యాన్సర్ - మొదటి లింఫోమా వద్ద, ఇప్పుడు సాధారణంగా క్యాన్సర్.నేను స్పెషలిస్ట్‌లను, GPలను సందర్శించాను, ఛాతీ ఎక్స్‌రేలు మరియు రక్తపనిని కలిగి ఉన్నాను, చివరకు కాంట్రాస్ట్‌తో పూర్తి CT స్కాన్ చేశాను.ప్రతి సందర్భంలోనూ అన్ని స్పష్టంగా ఉన్నప్పటికీ, వారు ఏదో కోల్పోయారనే ఆందోళనతో నేను బలహీనపరిచే శక్తిని ఖర్చు చేస్తాను.ప్రతి రోగనిర్ధారణ ప్రక్రియ భయం మరియు సందేహం తిరిగి రావడానికి ముందు నాకు కొన్ని వారాల ప్రశాంతతను కొనుగోలు చేసినట్లు అనిపిస్తుంది.

నాకు క్యాన్సర్ యొక్క దైహిక లక్షణాలు లేవు మరియు తేలికపాటి రోగనిర్ధారణ GERD ని కాపాడి మంచి ఆరోగ్యంతో ఉన్నాను -- కానీ కంపల్సివ్ google'ing నాకు హామీ ఇస్తుంది, వారి 30 ఏళ్ల ప్రారంభంలో చాలా మంది ఆరోగ్యవంతులు నీలిరంగులో టెర్మినల్ క్యాన్సర్‌తో బాధపడుతున్నారని, అనేక తప్పు నిర్ధారణల తర్వాత.నన్ను బ్రష్ చేస్తున్నాను, కొరియాలో వైద్య వ్యవస్థ సరిపోదు, ఆస్ట్రేలియాలో వైద్య విధానం సరిపోదు (నేను ఈ విధానాన్ని మూడు దేశాల వైద్యుల కార్యాలయాల ద్వారా తీసుకువెళ్లాను!)

నేను ఇక్కడ పనిచేస్తున్న నిర్బంధ మరియు ఆత్రుత పక్షపాతాలను గుర్తించాను, కానీ వాటిని ఎలా మార్చాలో నాకు తెలియదు.ఇలాంటి వాటిని భరించిన వారికి - వైద్యుల ""అన్ని స్పష్టంగా"" విశ్వసించడం ఎలా నేర్చుకుంటారు?తీవ్రమైన అనారోగ్యం విషయంలో మీరు బహుశా కొన్ని స్పష్టమైన లక్షణాలను చూపిస్తారని మరియు ఆ లక్షణాలు సరిగ్గా వివరించబడతాయని మీరు ఎలా విశ్వసిస్తారు?

నా ఆందోళనపై తక్కువ ప్రభావాన్ని చూపే ఖరీదైన వైద్య పరీక్షల యొక్క అంతులేని చక్రం నుండి నేను అలసిపోయాను మరియు నిస్సహాయంగా ఉన్నాను.మీ సలహా అభినందనీయం.",anxiety,-0.98,10
616,"వాస్తవానికి మీరు పూర్తిగా చెడ్డవారు. చాలా మంది వ్యక్తులు మానసికంగా మరియు మానసికంగా తెలివిగా ఉంటారు, సాపేక్షంగా కనీసం.వారు ఆందోళన అంతా మీ తలలో ఉందని క్లెయిమ్ చేయవచ్చు, మీ శారీరక అనుభవం వేరే విధంగా సూచిస్తుందని అర్థం చేసుకోలేరు.ప్రతికూల అభ్యంతరాలతో నిండిన భారీ స్టేడియంలో నిరంతరం మునిగిపోయే అంతర్గత స్వరం వారికి లేనందున వారు సానుకూలంగా ఆలోచించమని మీకు చెప్పవచ్చు.మీరు సాంఘికీకరించడం అనేది మీరు చేయాలనుకుంటున్న అతి తక్కువ పని అయినప్పుడు వారు దానిని వ్యక్తిగతంగా తీసుకోవచ్చు, వారు వారి సాధారణ జీవితం గురించి మాట్లాడటం మీ ఇప్పటికే క్షీణించిన జీవిత శక్తిని హరించివేస్తుందని వారు ఎప్పటికీ ఊహించలేరు.వారిలో కొందరు మీతో అన్ని రకాల షిట్‌లను ప్రారంభించవచ్చు, ఎందుకంటే వారు మిమ్మల్ని బలహీనులుగా మరియు అనుకూలమైన బాధితురాలిగా చూస్తారు, వారు నిజమైన పిరికివాళ్లని ఎప్పటికీ గ్రహించలేరు.

వారిలో కొందరు నిజంగా మీకు సహాయం చేయాలనుకోవచ్చు మరియు మీకు వీలైనంత త్వరగా చికిత్స పొందాలని చెప్పవచ్చు, అప్పుడు మీరు ఏదో ఒక రకమైన సహాయం కోసం తీవ్రంగా వెతుకుతున్నప్పుడు మీరు మెలకువగా ఉండటానికి పోరాడుతున్న సానుభూతి లేని యాదృచ్ఛిక బ్యూరోక్రాట్ వ్యక్తిని మీరు చూడవచ్చు.సాధారణంగా సందేహాస్పదమైన డ్రగ్స్ రూపంలో లభించే సహాయం, అధిక ధరకు మాత్రమే పని చేస్తుంది కాబట్టి మీ పర్సులు మీతో బాధపడుతుంటాయన్న విషయం తెలియక కొందరు ప్రైవేట్ ఖరీదైన నిపుణులను చూడమని వారు మీకు సలహా ఇస్తారు.మీరు కేవలం శీతలీకరణ మరియు విశ్రాంతి తీసుకోవాలని వారు సూచించడానికి ఇష్టపడతారు.ఎందుకంటే వారి కడుపులో బూటు వేయడానికి రేసింగ్ ఆలోచనలతో కుడివైపున ఇరుక్కున్న ఆ చొరబాటు, భయంకరమైన, భయంకరమైన, భయంకరమైన, చుట్టుముట్టే, ఆనందాన్ని మింగేసే, ఆత్మను తుడిచిపెట్టే, పీల్చే, బాధాకరమైన, హింసించే, అసహ్యకరమైన భయంకరమైన గొయ్యి లేదు.బహుశా మీరు ఎలా ఎదగాలి అనే దానిపై వారు తెలివితక్కువ వ్యాఖ్యలు చేస్తారు, అన్నింటికంటే, మరణానికి భయపడే చిన్న పెళుసుగా ఉన్న పిల్లవాడిలా మానసికంగా స్పందిస్తూ పెద్దవారిలా ఆలోచించడం ఎలా ఉంటుందో వారికి తెలియదు.

జిమ్‌కు వెళ్లండి లేదా శారీరకంగా చురుకుగా ఉండండి మరియు కొన్ని ఎండార్ఫిన్‌లను అమలు చేయండి అని వారు చెప్పవచ్చు.న్యాయంగా చెప్పాలంటే, మీరు అక్కడికి వెళ్లడానికి బలాన్ని కూడగట్టగలిగితే అది నిజంగా బలమైన సలహా.వాస్తవానికి వారికి వారి సమస్యలు కూడా ఉన్నాయి, అయితే తేడా ఏమిటంటే మీ సమస్య మీరే మరియు మీరు మీ జీవితంలోని ప్రతి అంశాన్ని ఎలా కలుషితం చేస్తారు.విషయమేమిటంటే, 'వాళ్ళలో' కొందరి ప్రకారం మీరు ఓడిపోయినవారు, పనికిరానివారు, సోమరితనం, భయపడేవారు, స్థలం వృధా చేయడం, జీవితంలో చూపించడానికి ఏమీ లేని వైఫల్యం.వారు మీ కంటే చాలా మెరుగ్గా ఉన్నారు మరియు ఉద్దేశపూర్వకంగా లేదా వారు మీ సంస్కరణను కొనుగోలు చేసేలా చేస్తారు.

అయితే.ఇది రోజు చివరిలో తీర్పు చెప్పే వ్యక్తుల నుండి వచ్చిన అభిప్రాయాలు మాత్రమే.మీరు ఎవరిపైనైనా పగ, అసూయ లేదా కోపాన్ని పెంచుకోవడంలో శక్తిని వృథా చేయకూడదని నేను కోరుకోవడం లేదు, వారు అర్థం చేసుకోలేరు.వారికి నిజం ఎలా తెలుస్తుంది.బహుశా మీ గురించి మీకు కూడా నిజం తెలియకపోవచ్చు, కాబట్టి నేను చెప్పబోతున్నాను.

మీరు ఇక్కడ ఉండటం మరియు కొనసాగించడం వలన మీరు గోర్లు వలె కఠినంగా ఉంటారు.ప్రతిరోజూ రాక్షసుల సమూహాలతో పోరాడే యోధుడు.భయాన్ని ఎదుర్కొనే సంకల్పం ద్వారా ధైర్యం నిర్వచించబడింది, మీ ముఖంలో అన్ని సమయాలలో భయం నింపబడి ఉంటుంది.మీరు అంతులేని ఆందోళనకు గురవుతారు, కానీ వాస్తవానికి మీరు పదం యొక్క నిర్వచనం ప్రకారం ధైర్యంగా ఉంటారు.కొనసాగించడానికి మీ వంతు కృషి చేయడం, అంతే.ఇది కొన్ని గొప్ప ప్రేరణాత్మక ప్రసంగం కాదు, కేవలం ఒక చల్లని వాస్తవం.

ఇది చదవడానికి మీకు ఏ మాత్రం సహాయం చేయకపోవచ్చు, కానీ నేను దానిని చెప్పకుండా ఉండనివ్వను.ఆందోళన దానికదే చెడ్డది, కాబట్టి అవమానంగా భావించడం కంటే మీ గురించి మీరు గర్వించే హక్కును సంపాదించుకున్నారు.మీ చీకటి రోజులలో మీరు దానిని గుర్తుంచుకోవాలని నా ఉద్దేశ్యం, ఎందుకంటే మీ పాత్రను మీ నియంత్రణలో లేని కారకాలతో కొలిచేటప్పుడు ఆందోళన చెందడం ఎలా ఉంటుందో నాకు బాగా తెలుసు.",anxiety,-0.98,10
187,రాత్రి వీధి దీపాలు వెలిగాయి.,normal,0.78,2
436,ఒత్తిడి పెరగడంతో తల తిరుగుతోంది.,stress,-0.34,7
202,ఏ పని చేయడానికి ఉత్సాహం లేకుండా ఉంది.,depression,-0.92,10
569,భావోద్వేగాలు కూడా గందరగోళంగా ఉన్నాయి.,stress,-0.23,7
88,మంచం సర్దాను.,normal,0.76,2
16,నేను నీళ్లు తాగాను.,normal,0.44,4
673,"నిజంగా చెడ్డ సలహా కావాలి (కుటుంబానికి సంబంధించినది) నా వయస్సు 26 సంవత్సరాలు మరియు నేను 13 సంవత్సరాల వయస్సు నుండి మా అమ్మతో నివసిస్తున్నాను.నా తల్లిదండ్రులు విడాకులు తీసుకున్నారు, మా నాన్న ఆల్కో, మా అమ్మ విడాకులు తీసుకున్న వెంటనే బై పోలార్ డిజార్డర్‌ని అభివృద్ధి చేసింది.నేను దాదాపు సినిమాల వంటి పరిస్థితులలో జీవిస్తున్నాను, మా అమ్మ మొదటి 5 సంవత్సరాలు నా పట్ల దూకుడుగా లేదు, కానీ ఆమె ఆసుపత్రిలో చేరిన చివరి సంవత్సరంలో అది నిజంగా ఒక పీడకల.

మా అమ్మ గత 5-6 సంవత్సరాలుగా ఇప్పుడు చాలా బాగా చేస్తోంది, ఆమె తన మెడ్‌లను క్రమం తప్పకుండా తీసుకుంటుంది, ఆమె తిరిగి తన పనిలోకి వచ్చింది కాబట్టి ఆమె పూర్తిగా పని చేస్తుంది.కానీ విషయమేమిటంటే, ఆమె హైపోకాన్డ్రియాక్, మరియు ఆమె అలవాటు పడిన విషయాలలో ఒకటి, నేను ఆమెను ఎప్పుడూ ఎదుర్కొంటాను లేదా అంతకంటే ఎక్కువగా నేను అపాయింట్‌మెంట్‌లు చేస్తాను మరియు ఆమెను డాక్టర్ వద్దకు నడిపిస్తాను.ఆమె కోలుకోవడానికి ముందు అన్ని సంవత్సరాలలో నేను వంట చేయడం, శుభ్రపరచడం మరియు ఇంటిపనులు చేయడం వంటి వాటికి అలవాటు పడింది.

కానీ నేను ఇకపై దాన్ని నిర్వహించలేను, నేను ఓసిడి మరియు డిప్రెషన్‌తో తేలికపాటి తీవ్రమైన ఆందోళనతో బాధపడుతున్నాను.నా స్వంత జీవితానికి ప్రేరణను కనుగొనడం నాకు చాలా కష్టంగా ఉంది, నేను చాలా పనులు చేస్తాను, నేను కలిగి ఉన్న లక్ష్యాలపై దృష్టి పెట్టడానికి ప్రయత్నిస్తాను, నేను ఎలా అభివృద్ధి చెందుతున్నానో నేను సంతోషంగా లేను కానీ నేను కనీసం ప్రయత్నిస్తున్నాను.నేను ఇకపై డాక్టర్ల చెకప్‌లను నిర్వహించలేను, ఆమె ప్రకారం ఆమెకు గత 6 నెలల్లో కనీసం 2 సార్లు క్యాన్సర్ వచ్చింది.

నేను చాలా సహేతుకమైన వ్యక్తిని, ఆమెకు 20 సంవత్సరాల క్రితం గర్భాశయ క్యాన్సర్ వచ్చిందని ఆమె ఎందుకు భయపడిందో నేను అర్థం చేసుకున్నాను మరియు ఆమె డిప్రెషన్ రావడానికి ఒక కారణం.దాన్ని మార్చడానికి నేను ఏదైనా చేస్తానని నేను నిజంగా అర్థం చేసుకున్నాను, కానీ నేను చేయలేను.నేను ఈ ఫకింగ్ లా యూనిని పూర్తి చేయడానికి నా పరీక్ష కోసం చదువుకోవాల్సిన రోజు పూర్తి పని ఉంది.ఆమె ఏడుస్తూ రాత్రి 11 గంటలకు నా గదిలోకి వచ్చింది, ఆమె చాలా నిశ్శబ్దంగా ధూమపానం చేస్తుంది మరియు రోజు గడుస్తున్న కొద్దీ ఆమె తన గొంతును బాధిస్తోందని ఆమె మళ్లీ దాని క్యాన్సర్ అని భయపడుతోంది.మీరు దీన్ని చదివినప్పుడు ఇది కూడా తమాషాగా అనిపిస్తుందని నాకు తెలుసు, కానీ ఇది చాలా నిరాశపరిచింది, నేను 15 రోజులకు ఒక రకమైన వ్యాధిని ఎదుర్కొంటాను.ఆమెకు ఇకపై సహాయం చేసే శక్తి నాకు లేదు, ఎవరైనా నాకు ఏదైనా సలహా ఇవ్వగలరా, ఈ పరిస్థితిలో నేను ఏమి చేయగలను, ఒక్క రోజు నా మనసును తేలికపరచవచ్చు.",anxiety,-0.99,10
451,ఈ వేసవి కూడా ఒత్తిడిని పెంచేస్తోంది.,stress,-0.54,8
70,లైబ్రరీలో పుస్తకాలు చూశాను.,normal,0.36,4
24,నా బ్యాగ్ సర్దుకున్నాను.,normal,0.01,5
554,ఒత్తిడితో భోజనం కూడా సరిగ్గా చేయలేకపోతున్నాను.,stress,-0.22,6
6,నేను పుస్తకం చదివి కొంత సమయం గడపాను.,normal,0.3,4
253,మాట్లాడడానికి మాటలు రావడం లేదు.,depression,-0.62,8
328,చిరునవ్వు కేవలం అలవాటు మాత్రమే.,depression,-0.93,10
146,కొత్త షర్ట్ వేసుకున్నాను.,normal,0.63,3
126,ఈ రోజు ప్రత్యేకం ఏం లేదు.,normal,0.36,4
496,భవిష్యత్తు గురించి ఆలోచిస్తేనే టెన్షన్ వస్తోంది.,stress,-0.8,9
428,కాలంతో పరిగెత్తుతున్నట్టు ఫీలవుతున్నాను.,stress,-0.21,6
64,రోడ్డుపై చెట్లు కొత్తగా కనిపించాయి.,normal,0.08,5
470,చిన్న తప్పు చేసినా చాలా గట్టిగా అనిపిస్తోంది.,stress,-0.66,8
627,"నా ఆరోగ్యం మరియు ఆందోళనను ప్రేరేపించే విషయాలు - నా ముక్కులో విచిత్రమైన వాసన
- నేను తిన్న కొద్దిసేపటి తర్వాత నా నోటిలో ఉన్న చిన్న చిన్న ఆహార ముక్కలు (అవి ఏదో ఒకవిధంగా విరిగిపోయి నా నోటిలో చేరిన అవయవాల ముక్కలని నేను నమ్ముతున్నాను)
- నా చర్మంపై గడ్డలు
- బర్పింగ్ భిన్నంగా అనిపిస్తుంది
- నా దృష్టిలో తేలుతుంది
- కండరాల నొప్పులు
- క్లిక్ చేయడం మరియు నా శరీరం చేసే ఇతర శబ్దాలు

ఎవరైనా సంబంధం కలిగి ఉన్నారా?",anxiety,-0.54,8
90,నేడు సాధారణ రోజు.,normal,0.44,4
15,రేపు సాధారణ రోజు అవుతుంది.,normal,0.59,3
751,"నేను మళ్లీ మోసపోయానని ఇప్పుడే తెలిసింది.20F ప్రస్తుతం నాకు ఏమి అనిపిస్తుందో వివరించడానికి నా దగ్గర పదాలు లేవు.నేను దీనితో చాలా అలసిపోయాను, కానీ నేను అతనిని విడిచిపెట్టలేను, అతను లేకుండా నేను అధ్వాన్నంగా ఉంటానని నేను భావిస్తున్నాను.నాకు రేపు ఇంటర్వ్యూ ఉంది మరియు నా మనసులో ఉన్న దీన్ని ఎలా గొప్పగా చేయగలనో నాకు తెలియదు.నేను ఎప్పుడూ మూగ బిచ్‌గా భావిస్తున్నాను.ఇది నన్ను చంపుతుంది.నాతో మాట్లాడేందుకు ఎవరూ లేరు.నేను ఈ చెత్తను ద్వేషిస్తున్నాను",anxiety,-0.98,10
